C4 H10 3(C-C) 10(H-C)
C4 H10 3(C-C) 11(H-C)
C8 H20 6(C-C) 22(H-C)
C8 H20 5(C-C) 22(H-C)
C3 H8 2(C-C) 8(H-C)
C5 H12 3(C-C) 13(H-C)
C1 H3 3(H-C)
C4 H9 3(C-C) 9(H-C)
C5 H13 3(C-C) 14(H-C)
H1
C1 H4 4(H-C)
C8 H19 6(C-C) 20(H-C)
C4 H9 3(C-C) 10(H-C)
H2 1(H-H)
C4 H9 4(C-C) 9(H-C)
C8 H18 7(C-C) 18(H-C)
C8 H17 7(C-C) 17(H-C)
C3 H6 2(C-C) 6(H-C)
C8 H19 6(C-C) 21(H-C)
C4 H11 3(C-C) 10(H-C) 1(H-H)
C3 H5 2(C-C) 5(H-C)
C12 H27 10(C-C) 28(H-C)
C8 H17 8(C-C) 17(H-C)
C4 H8 2(C-C) 9(H-C)
C3 H4 2(C-C) 4(H-C)
C4 H11 3(C-C) 11(H-C)
C3 H7 2(C-C) 7(H-C)
C7 H17 5(C-C) 18(H-C)
C3 H3 2(C-C) 3(H-C)
C7 H12 6(C-C) 12(H-C)
C4 H6 3(C-C) 6(H-C)
C3 H7 2(C-C) 8(H-C)
C5 H12 4(C-C) 12(H-C)
C3 H7 3(C-C) 7(H-C)
C2 H4 1(C-C) 4(H-C)
C7 H15 6(C-C) 15(H-C)
C6 H15 4(C-C) 16(H-C)
C11 H25 9(C-C) 26(H-C)
C5 H11 4(C-C) 11(H-C)
C9 H21 7(C-C) 22(H-C)
C8 H18 6(C-C) 19(H-C)
C4 H8 3(C-C) 8(H-C)
C4 H8 4(C-C) 8(H-C)
C7 H15 6(C-C) 16(H-C)
C7 H14 5(C-C) 15(H-C)
C8 H16 7(C-C) 16(H-C)
C4 H9 4(C-C) 10(H-C)
C7 H14 6(C-C) 14(H-C)
C4 H10 2(C-C) 11(H-C)
C3 H6 3(C-C) 6(H-C)
C8 H17 7(C-C) 18(H-C)
C7 H14 7(C-C) 14(H-C)
C5 H9 5(C-C) 9(H-C)
C2 H5 1(C-C) 5(H-C)
C5 H8 5(C-C) 8(H-C)
C2 H6 1(C-C) 6(H-C)
C5 H10 5(C-C) 10(H-C)
C8 H15 8(C-C) 15(H-C)
C8 H14 8(C-C) 14(H-C)
C8 H15 7(C-C) 15(H-C)
