19979 785 1
10302 51 1
4112 38 1
9181 185 1
5921 7 1
18426 161 1
22655 7 1
13475 335 1
11796 27 1
22565 13 1
22681 33 1
4584 7 1
23617 186 1
4856 3 1
17202 9 1
11412 269 1
8269 7 1
9101 179 1
8989 35 1
23004 27 1
17265 557 1
8738 71 1
14153 373 1
20467 6 1
19385 7 1
11041 182 1
23938 46 1
25896 1075 1
9828 19 1
19006 3 1
20160 62 1
8797 172 1
19841 6 1
9617 92 1
6271 28 1
16887 3 1
11336 266 1
13745 13 1
16925 232 1
19828 782 1
5512 54 1
17514 33 1
11669 286 1
7153 1 1
17558 6 1
9010 19 1
13426 7 1
21083 870 1
4556 3 1
14124 3 1
7689 24 1
10276 92 1
16526 401 1
14680 413 1
15394 11 1
3889 9 1
15998 7 1
24574 997 1
12549 313 1
9228 7 1
15157 8 1
17235 610 1
12753 19 1
17235 611 1
4722 54 1
14216 379 1
11215 9 1
7129 107 1
11243 7 1
18873 3 1
17453 41 1
3021 7 1
24785 9 1
22776 7 1
19159 27 1
19159 26 1
10433 7 1
5472 7 1
6050 9 1
8328 6 1
8128 57 1
23853 9 1
8223 24 1
6275 28 1
16834 46 1
16834 47 1
17581 5 1
14977 19 1
17158 606 1
19774 194 1
15352 1 1
6442 7 1
4625 3 1
15420 9 1
14563 33 1
5247 25 1
10188 8 1
9549 92 1
19530 767 1
13375 39 1
11717 13 1
13047 326 1
7314 52 1
5267 52 1
5099 9 1
24194 9 1
13496 17 1
4395 28 1
6401 27 1
21138 3 1
7041 105 1
14558 252 1
18090 7 1
18090 1 1
18064 11 1
12109 29 1
10383 119 1
22502 56 1
24420 1 1
11221 261 1
21631 899 1
17017 7 1
15104 24 1
8988 20 1
20968 5 1
24411 24 1
9448 13 1
14326 394 1
5634 1 1
23264 51 1
9029 71 1
9248 53 1
14672 411 1
14129 42 1
25891 229 1
4495 33 1
6637 42 1
20133 3 1
10463 22 1
6644 7 1
15419 33 1
14725 300 1
19887 7 1
18575 51 1
18108 7 1
13381 28 1
10486 7 1
7922 1 1
24867 1041 1
25100 195 1
19297 71 1
6904 1 1
22167 450 1
23707 25 1
10225 75 1
2923 7 2
7048 25 1
4823 12 1
14810 27 1
5022 28 1
7871 67 1
19194 33 1
23863 49 1
21891 309 1
22243 92 1
24011 1014 1
15739 5 1
17099 319 1
21602 609 1
22255 300 1
15993 28 1
10456 3 1
18990 11 1
21817 123 1
5600 7 1
15564 25 1
11527 19 1
12856 25 1
18648 13 1
4221 9 1
5669 13 1
24248 1 1
12023 42 1
17991 282 1
15470 482 1
5319 9 1
17153 604 1
15830 185 1
16527 33 1
4733 2 1
16830 6 1
11672 287 1
18567 51 1
19147 13 1
16410 57 1
19279 8 1
8411 89 1
15568 26 1
23194 971 1
5305 9 1
15811 62 1
21441 3 1
14993 314 1
10468 221 1
23866 7 1
16440 20 1
9109 3 1
4968 9 1
22968 967 1
15308 31 1
21107 35 1
9342 24 1
15521 486 1
12708 17 1
4976 8 1
14069 367 1
8131 58 1
3179 7 1
21595 33 1
23007 9 1
5432 66 1
16304 7 1
3978 23 1
9978 27 1
18777 673 1
25668 9 1
15966 229 1
13330 7 1
20637 598 1
4573 7 1
4441 47 1
5954 7 1
23824 3 1
17534 641 1
7799 26 1
14293 392 1
7801 127 1
16463 7 1
19725 214 1
5115 6 1
6481 17 1
11208 7 1
11443 272 1
17634 3 1
24902 479 1
5694 19 1
16300 48 1
18840 51 1
10487 30 1
18901 9 1
11134 252 1
23533 94 1
24867 23 1
21711 905 1
4577 9 1
3141 9 1
4803 57 1
3373 7 1
10102 1 1
4010 7 1
10862 7 1
8618 1 1
15773 19 1
20952 3 1
10862 8 1
17199 7 1
24416 986 1
17654 13 1
23391 983 1
10001 9 1
24960 254 1
15472 3 1
11168 259 1
3575 7 1
17848 657 1
11319 264 1
17596 3 1
18567 7 1
15224 9 1
16259 6 1
19979 7 1
17163 7 1
20974 72 1
9207 187 1
19870 52 1
15339 273 1
19544 3 1
3569 3 1
4946 11 1
4376 26 1
18411 222 1
4672 7 1
7095 7 1
21403 196 1
19817 47 1
5118 42 1
19716 9 1
11850 22 1
9794 204 1
14769 31 1
17304 533 1
12229 26 1
21121 872 1
24851 93 1
6192 13 1
20938 614 1
20111 26 1
21014 9 1
10129 159 1
4074 3 1
20774 9 1
12455 79 1
10615 155 1
22509 94 1
20698 13 1
24799 36 1
17406 624 1
12857 120 1
3462 7 1
24828 323 1
15037 67 1
6669 92 1
20081 291 1
3523 7 1
3906 22 1
17949 11 1
13265 75 1
20617 9 1
