19 2  -1
83 10  1
51 5  -1
51 2  -1
66 1  -1
69 4  1
64 13  -1
1 6  1
57 1  1
1 4  -1
1 5  1
57 4  1
1 1  -1
38 9  -1
36 4  -1
68 4  -1
64 10  -1
85 2  -1
38 2  1
78 1  -1
36 9  1
16 12  1
74 4  -1
11 8  -1
58 10  -1
22 10  -1
5 2  1
3 5  1
3 6  1
3 7  -1
11 6  1
81 10  -1
5 4  -1
76 12  -1
41 4  1
68 15  -1
86 15  1
28 16  -1
57 2  1
28 12  1
46 2  1
85 24  -1
68 22  1
73 10  1
21 9  1
46 5  1
50 10  -1
86 10  1
40 6  -1
13 11  1
70 1  -1
77 15  1
72 1  1
69 22  -1
81 15  -1
16 4  -1
23 14  -1
14 11  -1
14 10  1
23 10  1
62 2  0
8 4  1
67 16  -1
15 6  -1
62 9  0
18 10  -1
15 5  -1
61 4  0
44 10  -1
15 1  1
66 16  1
32 2  0
30 2  -1
66 12  -1
30 4  1
20 13  -1
30 9  1
25 2  1
25 1  1
64 2  1
15 4  1
31 9  1
37 4  1
36 10  -1
37 2  1
42 17  1
37 1  1
26 12  -1
31 1  -1
31 2  -1
31 4  -1
31 5  1
26 15  1
39 2  -1
87 10  1
39 4  1
87 9  -1
39 6  -1
79 5  -1
12 1  -1
80 1  1
12 2  -1
12 5  1
6 4  0
6 6  0
45 19  1
41 17  -1
48 10  1
38 6  1
46 19  -1
45 13  -1
28 1  1
67 15  1
41 18  1
48 19  1
78 15  -1
42 18  -1
8 9  -1
24 10  -1
24 11  1
21 4  0
21 2  -1
16 2  -1
71 5  1
43 10  1
43 17  -1
21 6  -1
39 10  1
73 2  -1
22 14  1
25 11  -1
43 6  1
30 8  -1
75 4  0
86 26  -1
49 10  1
84 2  1
75 5  0
12 10  1
55 12  1
48 20  -1
52 10  -1
70 15  -1
47 20  1
27 16  1
52 19  -1
24 5  -1
71 23  -1
18 2  1
18 1  1
51 19  1
18 5  -1
5 3  -1
79 23  1
49 4  1
49 6  -1
51 10  1
58 2  1
84 10  -1
49 2  -1
20 5  1
55 5  -1
53 5  1
32 10  0
53 2  1
13 1  -1
13 2  -1
37 5  -1
11 4  1
76 25  1
2 4  -1
2 7  1
65 14  0
2 1  -1
61 10  0
75 1  0
27 15  -1
4 6  -1
4 4  -1
40 17  1
44 18  1
4 8  1
40 10  -1
20 1  -1
17 4  -1
17 5  1
17 7  -1
45 5  -1
47 5  -1
58 4  -1
72 24  -1
73 7  -1
73 4  1
73 5  1
17 8  1
35 6  -1
83 24  -1
84 24  1
83 2  -1
42 4  -1
8 10  1
76 2  1
44 4  1
69 15  1
44 6  -1
82 24  1
29 4  0
54 10  1
37 9  -1
27 5  -1
74 10  -1
54 19  1
29 8  0
80 15  1
83 15  1
87 4  1
87 2  0
59 9  -1
59 7  1
59 5  -1
59 2  1
47 2  -1
72 15  1
34 5  1
34 7  -1
60 9  1
77 4  1
34 2  -1
60 2  0
34 9  1
76 9  -1
60 4  -1
23 2  1
78 5  1
35 8  1
33 7  1
33 4  1
33 5  -1
35 4  -1
80 23  -1
33 8  -1
65 2  0
82 26  -1
82 2  1
56 21  1
50 5  -1
50 4  0
50 2  1
50 1  1
70 23  1
57 21  -1
9 6  -1
7 9  1
9 5  -1
7 2  -1
53 20  -1
52 20  1
63 13  1
7 6  -1
84 15  -1
74 15  1
61 2  0
10 1  1
10 7  -1
72 5  -1
10 4  1
46 10  -1
54 5  -1
60 10  -1
9 7  1
55 1  1
71 24  1
85 26  1
26 1  -1
26 5  1
58 6  1
77 25  -1
19 10  1
78 24  1
67 5  1
19 13  1
81 26  1
63 1  1
63 5  -1
54 2  -1
56 5  -1
55 15  -1
22 2  -1
54 4  0
56 9  -1
14 5  1
79 24  -1
87 26  0
