258 78 1
648 113 -1
648 112 1
1 2 -1
1 3 -1
600 1 1
1 1 1
249 63 -1
38 6 -1
649 2 -1
662 3 1
183 52 -1
928 257 -1
651 2 1
196 2 1
1072 251 1
592 3 -1
15 10 1
89 20 1
1011 315 -1
77 11 -1
77 13 -1
40 1 -1
822 39 -1
329 21 1
602 186 -1
602 187 1
614 3 1
329 23 -1
234 15 -1
641 8 1
62 3 1
775 18 -1
34 13 -1
654 207 1
641 2 -2
641 1 0
386 34 1
1039 8 0
908 3 -1
1035 117 -1
615 64 1
1037 321 -1
138 42 1
138 40 -1
688 32 1
968 302 1
795 20 -1
789 3 1
471 3 -1
491 11 -1
95 2 1
95 3 -1
95 1 1
927 55 1
410 129 1
910 29 1
95 8 -1
707 220 1
190 2 1
532 64 -1
918 3 -1
649 200 -1
434 136 1
434 134 -1
384 88 -1
804 3 -1
962 3 -1
808 1 -1
1062 25 1
1059 326 -1
808 7 1
457 21 -1
1076 278 1
520 30 1
701 60 1
701 61 -1
989 117 -1
160 3 -1
776 62 1
700 20 1
700 23 -1
792 2 -1
892 3 1
217 63 1
174 23 -1
420 123 1
508 66 -1
342 20 -1
797 247 -1
966 224 -1
660 208 -1
129 38 1
348 4 1
348 3 -1
714 194 1
379 118 -1
129 36 -1
942 4 1
106 21 -1
125 28 1
241 66 -1
183 2 -1
183 1 1
150 10 -1
339 2 1
125 21 -1
657 18 1
991 308 1
1049 325 -1
219 2 1
743 1 1
869 265 1
495 11 1
743 2 -1
221 13 -1
512 157 -1
221 11 1
376 4 -1
84 3 1
767 234 1
116 33 -1
148 33 1
619 84 -1
497 91 -1
501 66 1
1029 187 -1
954 8 -1
1054 2 -1
1070 116 1
209 1 -1
211 2 1
547 138 -1
1012 53 1
199 58 1
301 8 1
764 235 -1
764 234 1
946 2 -1
1050 7 -1
134 11 -1
983 115 1
1050 1 1
494 30 1
315 95 -1
1050 8 -1
950 126 -1
778 242 1
394 8 1
683 49 -1
311 3 -1
311 4 1
333 3 1
245 71 -1
595 170 1
911 11 1
1065 190 1
876 98 -1
1017 25 -1
344 3 -1
447 28 -1
201 49 1
93 20 -1
215 1 -1
1022 8 -2
161 50 -1
933 291 1
933 290 -1
1050 13 1
215 8 1
333 98 1
901 8 1
219 23 1
219 25 -1
515 8 1
570 65 -1
601 186 1
709 11 -1
633 8 -1
356 3 -1
534 162 1
233 2 1
390 1 -1
390 2 1
463 147 1
461 71 1
255 77 1
255 75 -1
897 279 -1
370 3 -1
996 4 -1
184 20 1
996 8 1
642 199 1
772 234 -1
860 3 -1
304 86 -1
227 1 -1
386 121 -1
320 1 -1
290 87 1
558 4 -1
558 3 1
937 4 -1
1026 11 1
68 1 1
1036 321 1
607 185 1
974 115 -1
937 2 -1
598 53 -1
864 262 -1
1000 3 -1
488 134 -1
223 2 -1
223 1 1
493 94 -1
599 86 -1
319 95 1
1053 310 1
187 39 -1
812 251 -1
620 88 1
457 47 -1
266 75 1
979 300 -1
979 302 1
329 33 1
794 3 1
34 16 1
807 101 -1
1011 2 2
589 179 -1
180 20 -1
805 18 1
943 293 -1
1008 8 -1
570 173 1
519 2 1
835 41 -1
942 295 -1
818 21 1
448 3 1
448 2 -1
790 1 -1
1016 1 -1
529 1 -1
971 115 1
959 222 1
479 2 -1
64 1 1
909 8 -1
671 41 1
952 298 -1
952 299 1
786 244 1
137 4 1
889 275 1
137 3 -1
269 83 1
269 82 -1
39 4 1
730 2 1
525 1 -1
698 39 1
1038 2 1
539 4 -1
500 65 -1
915 283 1
569 66 -1
467 136 1
569 65 1
615 123 -1
507 2 1
1034 2 1
911 281 -1
1025 320 -1
294 89 1
21 6 -1
597 33 -1
21 2 1
21 1 1
225 3 1
208 16 1
4 2 1
827 29 -1
4 1 -2
851 260 1
490 21 -1
783 232 -1
513 1 -1
490 3 -1
26 1 1
615 4 -1
1073 50 1
615 1 1
531 2 1
615 2 -1
273 84 -1
948 108 1
487 152 -1
847 18 1
192 18 1
211 51 1
44 12 1
1057 41 -1
1046 324 -1
44 19 -1
627 1 -1
705 3 -1
538 159 1
174 33 1
679 40 1
72 20 1
113 11 1
756 237 1
609 2 -1
963 2 -1
554 112 -1
729 113 -1
783 101 1
1014 314 -1
1014 316 1
1044 46 1
316 41 1
549 17 1
292 1 -1
549 18 -1
247 73 1
384 2 -1
527 113 -1
762 40 1
631 57 1
106 11 1
715 3 -1
873 261 1
222 64 -1
815 43 -1
27 1 -1
631 113 -1
1006 306 1
619 1 1
405 127 1
405 126 -1
23 8 1
643 199 -1
977 3 -1
694 116 1
23 3 1
619 91 1
496 1 -1
258 3 -1
854 33 1
35 4 1
631 2 -1
148 23 -1
179 1 -1
179 2 1
483 151 1
204 11 1
1067 249 -1
966 2 -1
9 6 -1
199 49 -1
566 171 1
