1 2 -1
1 3 -1
1 1 1
854 80 1
2073 778 1
423 43 1
196 9 -1
1910 128 -1
1784 701 1
1502 9 -1
1059 2 -1
592 9 -1
484 63 1
431 133 1
89 26 1
1104 421 -1
240 59 1
40 1 -1
1714 13 -1
1357 438 -1
2014 796 -1
670 15 1
670 17 -1
62 9 1
775 17 1
34 18 -1
2003 1 -1
2168 855 1
1091 418 1
756 228 -1
1325 507 -1
1325 504 1
1471 578 1
838 309 -1
1781 55 1
396 18 -1
749 74 1
2111 9 1
591 198 -1
591 197 1
1522 3 1
307 34 -1
1020 259 -1
1003 382 1
2002 119 1
2002 113 -1
1163 241 1
776 63 -1
433 15 -1
1210 433 1
2356 695 1
1157 264 -1
916 28 -1
1336 517 -1
1540 41 1
183 8 -1
2339 65 -1
150 13 -1
183 1 1
2211 438 1
924 350 1
1999 774 1
243 1 1
2078 17 -1
243 3 1
1054 3 1
1834 228 -1
1235 432 1
301 9 -1
397 23 1
97 23 -1
561 82 -1
370 119 1
1769 684 1
688 249 -1
2233 144 1
370 117 -1
402 126 1
919 86 1
1436 115 -1
1407 41 -1
344 9 1
930 349 1
201 41 1
1196 70 -1
1918 765 1
309 42 1
1918 763 -1
2210 870 -1
2210 871 1
880 330 1
1947 105 -1
1360 531 1
1957 16 -1
515 2 1
2470 550 -1
219 23 1
82 37 1
1957 18 -1
2235 876 -1
847 113 1
2464 550 1
390 9 -1
2024 733 -1
1459 166 1
2044 807 -1
1816 84 -1
320 1 1
2146 128 1
2395 942 -1
558 2 -1
2395 940 1
68 2 1
1736 578 1
293 41 -1
68 8 0
68 9 1
685 41 -1
2106 830 1
1586 328 1
2354 550 -1
523 60 1
2385 939 -1
1209 464 -1
1686 654 1
1686 655 -1
562 9 1
1008 9 1
1416 43 -1
66 17 1
2427 951 -1
1016 1 1
1016 2 -1
1058 103 -1
66 19 -1
2122 259 1
1631 44 -1
611 211 -1
1959 781 1
525 3 1
667 229 -1
1587 517 1
270 59 -1
1437 91 1
539 8 1
2429 843 1
294 80 -1
1518 128 1
553 87 1
2176 859 -1
2378 9 1
1000 380 -1
1000 381 1
1580 3 1
225 9 1
208 18 -1
4 1 -1
809 271 -1
515 56 -1
515 52 1
1823 719 1
1823 717 -1
517 3 1
1499 115 -1
2381 550 1
1217 387 1
239 3 -1
1460 572 1
1930 771 1
1930 770 -1
366 16 1
366 17 -1
366 11 1
2348 926 -1
582 100 1
735 259 -1
1850 59 1
544 175 1
1291 55 1
1896 751 1
892 335 -1
892 336 1
1814 32 1
1814 33 -1
1471 577 -1
1416 311 1
1614 72 1
1384 48 -1
1044 43 -1
2224 3 -1
1787 45 1
1203 428 -1
384 3 0
27 3 1
27 2 -1
1566 622 1
207 72 1
619 3 1
1942 393 -1
716 262 1
2350 932 -1
2350 930 1
1028 142 -1
749 73 -1
1028 146 1
1764 691 1
1131 172 1
954 52 -1
199 41 -1
660 29 1
877 328 1
877 329 -1
2370 26 1
1837 718 -1
626 73 1
626 74 -1
1034 18 -1
689 251 1
689 250 -1
1245 465 -1
1827 55 1
1767 9 -1
1636 3 1
2081 447 1
1277 488 -1
1064 8 -1
962 363 1
1438 565 -1
1438 567 1
743 196 1
1099 133 1
1617 294 1
1141 3 1
2088 822 1
1111 424 -1
1111 425 1
2061 447 1
264 10 1
1222 3 1
621 3 -1
870 8 -1
289 95 1
1778 700 1
1388 142 1
276 40 1
390 70 -1
1179 8 1
1179 9 -1
1208 464 1
319 85 1
1201 428 -1
1156 436 -1
304 9 1
979 312 1
2096 8 1
2151 3 1
2457 967 1
1122 311 -1
2241 41 -1
161 1 1
1844 726 1
1844 725 -1
502 142 1
917 8 -1
1670 656 1
781 287 -1
781 284 1
167 62 1
1531 63 -1
1082 163 -1
2325 894 -1
1724 675 -1
1724 676 1
1554 618 1
1554 614 -1
1708 666 1
1183 59 1
1708 663 -1
1047 399 -1
176 22 1
176 23 -1
555 2 -1
485 158 -1
1609 89 1
327 8 1
1385 43 -1
1317 509 1
1244 128 1
45 1 1
1829 18 1
2392 748 1
1186 452 -1
2162 850 1
2435 951 -1
2435 954 1
1906 9 1
1906 3 -1
1966 782 1
2101 828 -1
2101 829 1
2017 53 -1
565 9 -1
1781 74 1
694 8 -1
155 15 -1
2452 963 1
2454 962 -1
2317 898 1
651 233 1
2261 8 -1
1818 716 1
323 56 1
1718 673 1
811 198 1
488 59 1
1300 3 -1
934 351 -1
2421 934 -1
1920 763 1
314 102 1
2322 622 1
2308 913 -1
1066 398 1
1101 421 1
1797 8 1
1293 9 1
1293 8 -1
344 43 1
281 93 1
178 1 1
178 3 1
51 1 -1
2296 3 1
256 15 -1
1453 525 -1
1053 402 1
1053 401 -1
1453 523 1
1569 9 1
1741 679 1
1924 199 1
529 179 -1
28 19 1
77 2 -2
579 3 1
1938 748 -1
2231 880 1
1177 451 -1
2245 8 -1
2173 853 -1
701 259 -1
1139 158 -1
2106 818 -1
1265 482 1
731 8 -1
731 9 1
1021 312 -1
2433 9 1
1496 589 1
418 133 -1
1426 561 1
82 13 -1
82 15 -1
1934 772 1
24 14 1
469 151 -1
633 153 -1
1890 562 -1
126 3 1
801 296 1
1192 3 -1
1815 16 1
2029 802 1
1998 790 -1
252 19 -1
114 9 1
655 74 1
83 37 -1
2316 8 -1
2316 9 1
1386 543 1
1386 542 -1
1631 60 1
1074 408 -1
686 15 -1
1857 199 1
1283 186 -1
1579 60 1
1788 702 -1
1788 701 1
506 142 -1
2261 95 -1
2128 825 1
587 199 1
1807 712 -1
1807 713 1
1142 2 -1
2328 9 1
2328 8 -1
1486 8 1
292 51 1
2318 142 -1
530 181 1
2032 228 -1
1001 69 -1
1048 140 1
1397 8 1
1405 551 1
222 23 -1
1893 749 1
2097 827 -1
2404 8 1
2443 3 1
273 49 -1
863 67 -1
2104 88 -1
1659 3 -1
1251 34 -1
268 60 -1
1428 9 -1
441 3 -1
1500 593 1
194 49 1
1578 627 -1
1478 580 1
1822 3 1
1661 3 1
533 52 1
2136 734 -1
1899 754 1
2167 854 1
204 71 1
447 140 -1
1372 150 1
406 1 -1
2306 803 -1
435 113 1
181 43 1
1005 381 -1
247 18 -1
100 2 1
100 9 1
683 93 1
1498 128 1
1929 770 1
1612 69 1
474 8 1
462 112 -1
411 18 1
1371 158 -1
2363 934 1
560 66 -1
2279 901 1
2279 900 -1
1567 623 1
1971 784 1
153 57 -1
1997 772 1
254 85 1
254 84 -1
1877 638 -1
254 3 1
1869 77 -1
2288 9 1
1412 553 -1
267 8 -1
267 9 -1
267 7 1
1592 3 1
1425 3 -1
276 67 -1
2196 3 -1
2105 829 -1
1432 557 -1
1354 135 1
1941 769 1
1182 452 1
2328 921 -1
581 45 1
2360 933 1
13 2 -1
2124 8 0
551 52 1
2428 322 -1
2470 273 1
1670 639 -1
2476 971 1
1427 559 -1
953 101 1
1025 362 1
1431 3 -1
2359 826 -1
2285 52 1
1756 136 -1
1975 8 -1
2103 9 -1
1238 329 1
943 311 -1
2087 18 1
2452 16 1
1524 605 1
1648 568 1
2398 600 1
849 317 1
510 74 1
510 70 -1
170 63 1
2464 8 -1
2338 142 -1
307 77 -1
2392 941 -1
741 3 -1
340 16 -1
54 13 1
2217 873 -1
262 90 -1
681 246 -1
579 195 -1
579 196 1
681 248 1
2124 837 1
828 3 1
1212 450 -1
1130 15 1
1566 72 -1
2031 803 -1
1535 8 -1
1663 608 -1
349 109 -1
982 3 1
1664 653 -1
559 63 -1
323 34 -1
1266 421 1
2293 901 -1
217 3 -1
2293 908 1
1629 639 1
1363 533 1
967 365 1
998 9 -1
998 8 1
1692 3 -1
1206 462 -1
1404 549 -1
1923 766 -1
31 1 1
868 70 1
651 16 -1
87 15 -1
1658 639 -1
87 18 1
207 3 1
510 18 -1
1881 376 -1
2183 863 1
1241 471 1
67 10 1
1134 14 -1
558 82 -1
1977 105 1
845 43 1
2460 596 -1
2333 59 1
852 75 -1
2333 50 -1
136 41 -1
458 3 1
56 18 1
1175 450 1
221 45 1
446 9 1
2028 742 1
71 28 -1
1692 16 1
573 191 1
108 41 1
785 148 -1
1829 721 1
1706 656 -1
1036 43 1
1584 630 1
682 234 1
1071 71 -1
1058 17 1
1194 1 -1
1908 760 1
534 18 -1
2238 9 1
458 52 1
534 15 -1
534 17 1
599 28 1
1960 8 1
1612 9 1
1802 708 -1
1802 709 1
45 25 -1
922 43 -1
1977 72 -1
272 84 1
83 17 1
2012 3 -1
2003 787 -1
1372 46 -1
1506 16 1
1845 3 1
388 8 1
388 9 -2
1852 731 -1
1852 732 1
1956 63 1
1813 395 -1
1813 394 1
1869 3 -1
898 105 1
1579 45 -1
1579 41 -1
1579 43 1
1889 562 1
1036 387 -1
388 38 1
1701 9 1
642 8 1
1533 8 -1
1533 9 1
369 101 1
2416 949 -1
905 77 -1
639 2 -1
1001 46 1
266 91 -1
2313 3 -1
1481 100 -1
1794 704 -1
1423 555 -1
1961 361 -1
1342 16 -1
1180 387 1
1680 271 1
1180 381 -1
1655 211 -1
1984 2 -1
1632 3 1
1211 34 1
2202 868 -1
1821 395 -1
1894 748 -1
2388 938 1
631 17 1
1984 113 -1
474 52 -1
598 109 -1
1648 9 -1
474 59 1
1612 622 -1
1420 45 1
2089 819 -1
1072 43 1
1739 74 1
1336 128 1
1466 55 -1
821 139 -1
599 112 1
181 66 -1
1345 522 1
1345 520 -1
92 1 -1
92 2 1
275 67 1
2294 23 1
1406 18 1
1406 17 1
1406 15 -1
2109 3 1
2323 919 1
646 228 1
2009 772 1
646 227 -1
2009 774 -1
2017 782 -1
1129 432 1
189 46 -1
1121 8 1
2115 1 1
659 101 -1
343 8 -1
2139 8 1
2036 196 1
596 196 1
1324 508 -1
2119 793 1
1266 387 -1
1201 460 1
1470 9 -1
369 26 -1
1408 105 -1
1129 3 1
543 26 -1
1991 789 1
465 112 1
1253 471 -1
523 112 1
1017 1 1
2290 52 -1
2275 898 -1
477 155 1
477 154 -1
1962 66 -1
1541 604 -1
274 16 -1
167 23 -1
1604 224 -1
1946 105 1
1007 1 1
1368 537 1
2194 432 1
731 77 1
2394 8 1
2394 9 -1
1044 398 1
1044 396 -1
291 17 -1
146 32 1
1164 444 1
1982 270 -1
561 8 -1
2277 3 1
1749 678 -1
581 60 -1
756 86 1
823 139 1
238 3 1
571 58 -1
1170 447 1
2298 825 1
2115 825 1
1461 572 -1
1927 763 -1
1927 760 -1
1927 767 1
1927 768 1
1416 41 -1
2083 195 1
1581 3 -1
1805 707 -1
1774 158 1
612 176 1
1294 493 1
540 8 -1
540 9 1
1664 639 1
910 344 -1
94 26 1
1248 41 1
2269 152 -1
1939 101 -1
1515 602 1
1205 8 -1
1515 601 -1
1094 203 -1
559 41 -1
746 71 -1
323 15 -1
2074 778 -1
511 172 -1
177 22 -1
2427 950 1
2185 15 -1
115 46 1
115 45 -1
602 2 -1
2225 9 1
2225 8 -1
580 100 -1
2206 521 -1
24 9 -1
24 2 -1
1448 224 1
1497 131 -1
1873 17 1
1873 15 -1
679 172 -1
1219 8 -1
2042 796 1
315 16 1
1067 8 1
500 142 -1
1708 3 -1
245 60 1
2035 334 -1
1108 423 -1
881 309 1
759 247 -1
1887 745 1
654 74 -1
1681 196 -1
448 132 -1
1595 16 -1
1681 193 1
1119 59 1
518 41 1
1680 60 -1
658 236 -1
482 37 1
1558 618 1
1756 69 1
1168 43 1
1401 546 -1
1401 545 1
2326 9 1
2024 799 1
2152 843 1
1727 117 1
2021 493 1
1903 757 -1
1903 758 1
1316 443 -1
763 279 -1
1981 9 -1
1931 770 1
1931 771 -1
1637 3 1
1993 791 1
1378 128 1
385 16 1
409 128 -1
2184 26 1
2331 16 -1
1235 3 -1
2125 838 1
1573 214 1
1908 746 -1
2174 16 1
2375 934 -1
2209 3 1
1059 245 1
2272 831 -1
2147 199 -1
785 291 1
860 318 -1
1774 677 -1
1006 103 1
978 3 1
1281 492 1
1281 491 -1
1732 395 -1
504 170 1
504 171 -1
166 38 -1
1599 9 -1
2418 600 -1
1236 365 1
1236 361 -1
350 69 1
1166 3 1
2152 3 -1
657 206 -1
942 101 -1
22 13 1
1650 16 1
283 9 -1
2358 41 1
914 3 1
1665 3 -1
1539 271 1
1588 517 -1
600 203 1
1668 120 1
1026 18 1
2224 439 1
1770 100 1
1855 721 -1
1855 722 -1
1770 103 -1
935 43 1
935 45 -1
1444 294 -1
1749 59 1
2400 733 1
1559 115 1
104 1 -1
104 2 1
556 183 1
1639 640 -1
1398 60 -1
556 187 -1
26 15 -1
509 15 1
509 17 -1
217 13 1
1754 684 -1
1687 15 1
326 9 -1
32 21 -1
552 1 1
792 294 -1
881 2 -1
1211 16 -1
2181 15 -1
771 276 1
1727 479 -1
2204 8 1
2204 9 -1
1167 15 -1
848 16 -1
1420 135 -1
1632 131 1
779 286 -1
779 289 1
433 139 1
1497 589 -1
2324 919 -1
433 137 -1
1280 9 -1
1539 15 -1
1574 3 -1
1625 323 1
1464 575 1
2218 121 1
637 222 1
2030 17 -1
380 123 1
76 9 -1
76 8 1
76 3 1
1551 16 1
1763 689 -1
588 8 -1
1225 468 1
639 224 1
1674 131 1
1674 134 -1
1290 8 1
2025 16 -1
1169 59 1
1693 648 -1
189 68 1
2402 169 1
50 9 1
50 8 1
2250 2 -1
1108 59 1
2193 572 -1
2236 26 1
1947 3 -1
105 18 1
1748 682 -1
1518 3 -1
2067 815 1
1776 40 1
2067 813 -1
720 266 1
720 265 -1
1243 17 -1
1051 400 1
310 10 -1
310 14 1
1115 427 1
834 1 -1
2298 16 1
1788 16 1
1577 72 -1
1665 294 1
587 45 -1
1041 9 -1
1833 712 1
109 3 -1
520 175 1
23 10 -1
1696 639 -1
51 29 -1
2285 13 -1
2285 16 1
1183 34 1
710 92 -1
759 8 1
702 259 1
1586 197 -1
1257 120 1
1166 445 -1
2008 636 -1
1124 34 1
921 349 1
571 74 1
896 337 -1
896 338 1
213 1 1
2452 3 -1
1377 540 1
80 1 1
1199 16 1
1830 142 1
297 59 -1
2237 878 -1
1935 770 -1
1451 128 -1
845 315 1
1216 421 -1
131 26 -1
2071 135 1
2466 969 1
1735 3 -1
2439 272 1
612 153 -1
296 75 1
663 206 -1
1718 576 -1
1359 530 -1
360 1 0
360 2 1
1508 595 -1
1508 596 1
1775 695 -1
360 9 -1
1775 696 1
1485 9 -1
1119 158 1
712 263 1
1569 625 1
1569 624 -1
1825 8 -1
2422 69 -1
1349 510 -1
2422 60 -1
2197 95 -1
632 153 1
915 128 1
417 3 1
542 176 -1
879 317 -1
2217 874 1
879 311 1
879 310 1
745 71 1
1342 28 1
1362 160 1
1839 9 1
1839 8 -1
442 3 1
1333 1 -1
2037 804 -1
2037 805 1
1333 8 1
2357 8 1
889 3 -1
1873 38 -1
156 58 1
2182 572 1
156 55 -1
1661 608 1
1870 135 1
407 8 1
2033 428 1
263 65 1
263 60 -1
1280 490 -1
1280 491 1
2472 9 1
2472 8 -1
1675 196 1
836 293 1
1413 554 1
627 84 1
604 206 1
604 205 -1
1123 263 1
647 176 -1
1065 34 1
1873 9 1
1528 606 -1
1528 607 1
1968 3 1
842 313 -1
842 312 1
1206 421 1
1457 573 1
2337 925 1
458 16 -1
200 60 1
1595 2 -1
1595 1 1
2397 938 -1
2230 8 -1
1595 8 -1
1595 9 1
351 49 1
268 1 -1
687 60 -1
1889 744 -1
961 9 1
961 8 -1
737 41 1
737 40 1
1577 8 1
1577 9 -1
2223 790 1
851 54 1
110 15 -1
357 115 1
2094 9 -1
2008 794 1
2320 898 1
1262 3 1
290 27 -1
1753 43 1
2076 3 1
1316 508 1
907 16 1
250 18 1
265 5 -1
250 13 -1
1270 16 -1
2477 972 1
1801 708 1
185 25 -1
2438 957 1
1561 45 -1
595 72 -1
2116 836 1
212 18 -1
2438 956 -1
1443 13 -1
2137 3 1
